S2 Cell,state_name,county_name,Waymo RO Miles
9263824804807442432,California,Santa Clara,95639.24830926745
9263824839167180800,California,Santa Clara,304.3904184038649
9263824873526919168,California,Santa Clara,7947.582919574567
9263824907886657536,California,Santa Clara,154129.26278929296
9263824942246395904,California,Santa Clara,62378.97391167136
9263824976606134272,California,Santa Clara,135704.91547430799
9263825010965872640,California,Santa Clara,49484.55886918771
9263825045325611008,California,Santa Clara,75566.42150746637
9263825079685349376,California,Santa Clara,52073.68498542711
9263825114045087744,California,Santa Clara,17542.285014353896
9263827347428081664,California,Santa Clara,34672.526478938955
9263827416147558400,California,Santa Clara,8470.73179663336
9263827450507296768,California,Santa Clara,141532.71477896965
9263827484867035136,California,Santa Clara,113630.37740905023
9263827519226773504,California,Santa Clara,93047.01125384922
9263827553586511872,California,Santa Clara,30757.40423184777
9263827587946250240,California,Santa Clara,25620.0651060468
9263827725385203712,California,Santa Clara,11691.265028607346
9263827828464418816,California,Santa Clara,6580.7034204633255
9263827862824157184,California,Santa Clara,19753.885540586256
9263827897183895552,California,Santa Clara,139955.68552176547
9263827931543633920,California,Santa Clara,13101.699009065236
9263827965903372288,California,Santa Clara,178352.66538985897
9263828000263110656,California,Santa Clara,22073.574094747022
9263828034622849024,California,Santa Clara,5088.897688911765
9263828068982587392,California,Santa Clara,7480.0404586613795
9263828172061802496,California,Santa Clara,4148.7145379695
9263828275141017600,California,Santa Clara,14121.980193000309
9263828309500755968,California,Santa Clara,2691.2810173695025
9263828343860494336,California,Santa Clara,5153.485191352634
9263828378220232704,California,Santa Clara,473.5005626290631
9263828412579971072,California,Santa Clara,5423.6490087786415
9263828446939709440,California,Santa Clara,116013.80617468069
9263828481299447808,California,Santa Clara,30633.49779486634
9263828515659186176,California,Santa Clara,143483.44065356744
9263828550018924544,California,Santa Clara,53919.35365500751
9263828584378662912,California,Santa Clara,9080.685182096708
9263828618738401280,California,San Mateo / Santa Clara,14116.921770693803
9263828653098139648,California,Santa Clara,8490.522881391837
9263828687457878016,California,Santa Clara,46242.08390531955
9263828721817616384,California,Santa Clara,109489.02713550325
9263828756177354752,California,Santa Clara,6830.0124592942875
9263828790537093120,California,San Mateo / Santa Clara,117321.72348745484
9263828824896831488,California,Santa Clara,77717.80526722489
9263828859256569856,California,San Mateo / Santa Clara,23218.214358065874
9263828893616308224,California,San Mateo / Santa Clara,47845.5205342385
