id,source_id,market,state,reported_date,month,reporter_type,issue,operator,source_url
ATX-331,331,Austin,TX,2026-07-27,2026-07,APD,Near Miss,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/331
ATX-325,325,Austin,TX,2026-08-02,2026-08,APD,Safety Concern,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/325
ATX-329,329,Austin,TX,2026-08-04,2026-08,Resident Feedback,Safety Concern,AV Ride,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/329
ATX-330,330,Austin,TX,2026-08-04,2026-08,City Employee,Blocking Traffic,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/330
ATX-327,327,Austin,TX,2026-08-13,2026-08,City Employee,Safety Concern,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/327
ATX-328,328,Austin,TX,2026-08-13,2026-08,Resident Feedback,Safety Concern,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/328
ATX-326,326,Austin,TX,2026-08-15,2026-08,Resident Feedback,Safety Concern,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/326
ATX-336,336,Austin,TX,2026-08-15,2026-08,Resident Feedback,Safety Concern,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/336
ATX-337,337,Austin,TX,2026-08-19,2026-08,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/337
ATX-335,335,Austin,TX,2026-08-22,2026-08,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/335
ATX-338,338,Austin,TX,2026-08-25,2026-08,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/338
ATX-341,341,Austin,TX,2026-09-01,2026-09,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/341
ATX-340,340,Austin,TX,2026-09-02,2026-09,Resident Feedback,Safety Concern,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/340
ATX-345,345,Austin,TX,2026-09-02,2026-09,Resident Feedback,Near Miss,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/345
ATX-350,350,Austin,TX,2026-09-05,2026-09,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/350
ATX-348,348,Austin,TX,2026-09-08,2026-09,Resident Feedback,Nuisance,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/348
ATX-349,349,Austin,TX,2026-09-08,2026-09,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/349
ATX-355,355,Austin,TX,2026-09-09,2026-09,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/355
ATX-354,354,Austin,TX,2026-09-11,2026-09,Resident Feedback,Nuisance,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/354
ATX-346,346,Austin,TX,2026-09-12,2026-09,APD,Ignore APD Direction,Tesla,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/346
ATX-347,347,Austin,TX,2026-09-12,2026-09,Resident Feedback,Near Miss,Waymo,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/347
